Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Qualifying_Time(s),Season,Round
ALB,95.48,95.48,95.48,33.604206896,32.648225806,51.148677419,109.26584,12,MEDIUM,94.772,2026,2
ALO,95.856,95.856,95.856,31.000428571,32.399888888,50.494277777,108.764615384,6,SOFT,95.203,2026,2
ANT,92.861,92.861,92.861,32.343461538,32.096966666,48.1949,105.921521739,11,MEDIUM,92.064,2026,2
BEA,94.426,94.426,94.426,35.15896,33.290107142,49.309285714,110.028190476,10,MEDIUM,93.292,2026,2
BOR,94.828,94.828,94.828,32.80147826,34.135076923,52.074807692,111.9656,9,MEDIUM,93.965,2026,2
BOT,96.057,96.057,96.057,30.935090909,33.90764,50.3826,113.025523809,9,MEDIUM,95.436,2026,2
COL,94.947,94.947,94.947,31.392652173,33.855076923,50.476192307,110.578380952,11,MEDIUM,93.357,2026,2
GAS,94.676,94.676,94.676,33.42216,33.925785714,49.431607142,113.042043478,11,MEDIUM,92.873,2026,2
HAD,94.856,94.856,94.856,31.16373913,33.078653846,50.332461538,112.33690909,12,MEDIUM,93.121,2026,2
HAM,94.129,94.129,94.129,33.756347826,36.281615384,52.237846153,115.147368421,8,SOFT,92.415,2026,2
HUL,94.639,94.639,94.639,31.89573913,32.502185185,48.174185185,111.999521739,10,MEDIUM,93.354,2026,2
LAW,94.773,94.773,94.773,30.86572,32.645275862,49.543448275,108.429043478,11,MEDIUM,93.765,2026,2
LEC,93.599,93.599,93.599,32.860423076,33.491535714,50.693214285,113.860333333,12,MEDIUM,92.428,2026,2
LIN,97.896,97.896,97.896,25.64,33.342833333,54.0866,113.78125,6,MEDIUM,93.784,2026,2
NOR,93.296,93.296,93.296,31.978884615,32.064448275,49.600103448,108.120826086,9,MEDIUM,92.608,2026,2
OCO,94.877,94.877,94.877,32.4388,33.10904,51.06756,113.113421052,6,MEDIUM,93.538,2026,2
PER,99.2,99.2,99.2,28.242363636,34.853076923,52.270230769,115.936272727,8,MEDIUM,96.906,2026,2
PIA,93.472,93.472,93.472,31.57432,32.584571428,48.561142857,110.552458333,10,MEDIUM,92.55,2026,2
RUS,92.741,92.741,92.741,30.32732,31.40575862,48.234931034,105.158173913,11,MEDIUM,92.286,2026,2
SAI,95.679,95.679,95.679,34.52,31.745222222,48.161333333,107.885857142,9,MEDIUM,94.317,2026,2
STR,97.224,97.224,97.224,32.3473125,36.4007,53.4205,119.233133333,6,SOFT,95.995,2026,2
VER,94.541,94.541,94.541,30.088238095,32.179875,48.881875,111.537523809,9,MEDIUM,93.002,2026,2
