Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,9.666666666666666,6.833333333333333,3.0,,78.79,78.412,31.6565,39.683310344,30.197,99.4668,77.424,18.0,18.0,5.0,11.0
ALO,Aston Martin,10.0,5.5,0.5,80.067,79.286,79.496,35.021882352,38.697571428,31.812285714,101.9334375,78.815,22.0,19.0,1.0,1.0
ANT,Mercedes,9.0,17.0,25.0,,76.015,76.5,30.541730769,36.241451612,28.641741935,92.3254,74.998,3.0,16.0,156.0,244.0
BEA,Haas F1 Team,10.333333333333334,5.166666666666667,1.5,78.172,76.945,78.391,29.794615384,38.965032258,29.422129032,94.43532,76.389,15.0,17.0,18.0,21.0
BOR,Audi,8.0,4.0,0.0,78.209,76.611,77.027,33.155043478,37.324148148,30.188851851,99.770869565,76.001,12.0,11.0,2.0,2.0
BOT,Cadillac,12.333333333333334,6.166666666666667,0.0,78.914,78.225,79.962,31.0476,36.628833333,29.566166666,95.373,77.757,20.0,21.0,0.0,0.0
COL,Alpine,9.333333333333334,4.666666666666667,13.5,77.893,77.051,77.625,33.104666666,40.738133333,29.991166666,94.732,76.191,13.0,10.0,15.0,50.0
GAS,Alpine,5.0,10.0,13.5,78.508,77.26,77.583,31.015653846,38.357793103,30.247724137,99.776384615,76.261,14.0,7.0,35.0,50.0
HAD,Red Bull Racing,6.333333333333333,9.166666666666666,18.5,,76.674,76.684,30.813,38.6885,30.617133333,96.05468,75.077,6.0,6.0,26.0,69.0
HAM,Ferrari,7.333333333333333,12.666666666666666,24.0,,76.631,76.381,35.3812,41.650392857,30.575357142,100.283454545,74.743,2.0,1.0,90.0,165.0
HUL,Audi,8.333333333333334,4.166666666666667,0.0,,76.934,76.961,29.548333333,37.388677419,28.66016129,95.268703703,76.657,9.0,20.0,0.0,2.0
LAW,Racing Bulls,6.333333333333333,7.166666666666666,10.0,77.472,76.967,77.324,27.4518,38.549142857,39.54625,97.5434,76.542,8.0,8.0,24.0,35.0
LEC,Ferrari,11.0,5.5,24.0,76.883,75.799,75.922,33.51492,36.843535714,29.00337931,98.94508,75.281,10.0,15.0,75.0,165.0
LIN,Racing Bulls,9.666666666666666,7.833333333333333,10.0,77.804,76.411,77.02,26.105958333,36.15737931,27.522,88.234416666,75.84,11.0,9.0,11.0,35.0
NOR,McLaren,12.333333333333334,6.166666666666667,5.0,,75.426,75.925,32.22137037,38.0613,29.2799,97.578346153,75.001,4.0,3.0,58.0,116.0
OCO,Haas F1 Team,7.666666666666667,4.833333333333334,1.5,78.372,77.538,78.04,28.209083333,38.422172413,30.046034482,95.412916666,77.073,17.0,13.0,3.0,21.0
PER,Cadillac,10.666666666666666,5.333333333333333,0.0,,79.261,78.691,31.661774193,37.497,28.809294117,95.778566666,77.545,19.0,14.0,0.0,0.0
PIA,McLaren,5.333333333333333,7.666666666666666,5.0,76.566,75.483,75.893,30.27245,36.083208333,29.844958333,93.368157894,75.09,7.0,5.0,58.0,116.0
RUS,Mercedes,10.333333333333334,5.166666666666667,25.0,76.363,75.435,75.679,27.795166666,37.480964285,29.599107142,91.719,74.679,1.0,2.0,88.0,244.0
SAI,Williams,9.0,4.5,3.0,78.293,77.02,77.73,30.522307692,36.193310344,28.320827586,94.52326923,77.827,16.0,12.0,6.0,11.0
STR,Aston Martin,11.0,5.5,0.5,80.318,79.459,80.103,35.3376875,41.677,32.7903,107.6904,78.758,21.0,22.0,0.0,1.0
VER,Red Bull Racing,13.333333333333334,6.666666666666667,18.5,77.047,76.321,76.434,28.601366666,35.599090909,26.993424242,86.186892857,75.021,5.0,4.0,43.0,69.0
