Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Constructor_Position,Team,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
ALB,77.713,77.302,76.258,,34.897107142,21.213464285,43.93152,100.1836,8.0,MEDIUM,,,,,,,,,,75.737,5.0,2025,1
ALO,77.736,77.33,77.27,,32.146333333,20.468,40.508958333,92.653958333,15.0,MEDIUM,,,,,,,,,,,17.0,2025,1
ANT,78.39,77.634,76.206,,34.3628,21.651741935,44.0545,94.1804,13.0,HARD,,,,,,,,,,,4.0,2025,1
BEA,79.312,,,,,,,,,,,,,,,,,,,,14.0,2025,1
BOR,78.438,77.847,76.707,,35.560310344,22.132275862,44.491461538,95.108565217,12.0,MEDIUM,,,,,,,,,,,16.0,2025,1
DOO,78.232,77.394,76.993,,34.896433333,21.525066666,40.737925925,92.79564,15.0,MEDIUM,,,,,,,,,,,19.0,2025,1
GAS,78.505,77.493,76.719,,35.812733333,21.967666666,41.078666666,98.084333333,12.0,SOFT,,,,,,,,,,75.98,11.0,2025,1
HAD,77.847,77.019,76.732,,35.5303,21.4769,43.218037037,97.809115384,11.0,MEDIUM,,,,,,,,,,,20.0,2025,1
HAM,78.071,76.859,76.378,,35.164709677,21.043645161,43.021035714,94.332307692,15.0,MEDIUM,,,,,,,,,,75.973,10.0,2025,1
HUL,78.586,77.161,77.146,,33.474291666,21.409791666,41.677333333,96.843190476,13.0,MEDIUM,,,,,,,,,,,7.0,2025,1
LAW,78.455,77.64,,,35.149733333,23.440266666,41.65226923,99.918384615,14.0,MEDIUM,,,,,,,,,,,15.0,2025,1
LEC,77.461,76.439,76.188,81.4326,34.6599375,21.0813125,42.372724137,94.138925925,16.0,MEDIUM,,,,,,,,,,75.755,8.0,2025,1
NOR,77.252,76.58,76.597,,34.548466666,22.138633333,42.120407407,99.311333333,11.0,MEDIUM,,,,,,,,,,75.096,1.0,2025,1
OCO,79.139,78.034,77.373,,34.844354838,21.335064516,42.58225,99.124178571,13.0,MEDIUM,,,,,,,,,,,13.0,2025,1
PIA,77.67,76.563,75.921,,34.663866666,21.679366666,42.406296296,96.628692307,11.0,MEDIUM,,,,,,,,,,75.18,9.0,2025,1
RUS,77.716,77.282,75.96,81.697,34.852066666,21.230733333,41.753115384,94.09764,17.0,HARD,,,,,,,,,,75.546,3.0,2025,1
SAI,77.401,77.302,76.252,,34.7387,20.724233333,43.121407407,95.881153846,13.0,MEDIUM,,,,,,,,,,76.062,18.0,2025,1
STR,78.057,77.279,76.948,,33.774571428,20.6695,39.309791666,93.283833333,15.0,MEDIUM,,,,,,,,,,,6.0,2025,1
TSU,78.061,76.784,76.455,,33.621344827,20.537413793,40.740615384,90.54144,18.0,MEDIUM,,,,,,,,,,75.67,12.0,2025,1
VER,77.696,77.063,76.002,,35.356863636,22.138545454,42.903368421,93.974058823,10.0,MEDIUM,,,,,,,,,,75.481,2.0,2025,1
